case,listing_id,actual_price,predicted_price,residual_price
accurate_prediction,1.205217577719686e+18,1446.0,1446.0237,-0.02369999999996253
overprediction,1.4768561457740465e+18,8928.999999999998,21562.717,-12633.717000000002
underprediction,9.172824706056819e+17,184368.00000000012,11739.94,172628.0600000001
low_price,1.0245091281339148e+18,121.99999999999994,232.28857,-110.28857000000005
high_price,9.172824706056819e+17,184368.00000000012,11739.94,172628.0600000001
