feature,importance_mean,importance_std
neighbourhood,0.12799229954248603,0.0056707941027683
accommodates,0.11379753343539267,0.007060872795914759
bedrooms,0.10012405005844063,0.004436296578939995
host_total_listings_count,0.08383679507843847,0.006622310787096623
host_listings_count,0.07059826473362882,0.0052300856133371204
room_type,0.05330562569258217,0.004641058161290834
host_acceptance_rate,0.036131509227741,0.003379441826778789
minimum_nights,0.03432107052447918,0.0024813457685623937
calculated_host_listings_count,0.031099171691965067,0.002720560651682278
host_response_rate,0.0298793822250627,0.0069841272549430716
property_base_group,0.0286826109382189,0.0017717456348679507
bathrooms,0.02164050692519052,0.0039221076282155085
host_response_time,0.020944243155028564,0.0038570833308263397
number_of_reviews_ltm,0.019593402159227936,0.003970274460094969
review_scores_location,0.017347064925136622,0.004574674314937132
