feature,mean_abs_shap
neighbourhood,3.1146202
property_base_group,0.85342044
room_type,0.4565364
host_response_time,0.44014436
bedrooms,0.2160097
review_scores_location,0.13820218
accommodates,0.13295677
calculated_host_listings_count,0.11134206
minimum_nights,0.072713204
host_acceptance_rate,0.06872081
host_total_listings_count,0.059348196
host_listings_count,0.057838034
number_of_reviews_ltm,0.048563797
bathrooms,0.029820193
host_response_rate,0.021709653
