listing_id,cluster_id,segment_name,distance_to_centroid,run_id,model_name,model_version,assigned_at
1102083841436237608,0,Standard short-stay listings,0.7609378642693223,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1102687500816924841,2,Large short-stay group homes,1.348510830837299,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1103636373537308209,2,Large short-stay group homes,1.610510552253735,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1104329257216877338,2,Large short-stay group homes,2.430797296023275,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1107034069230368743,2,Large short-stay group homes,0.8571679989811433,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1107575762754698953,0,Standard short-stay listings,0.6225176924574382,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1107655024139306794,2,Large short-stay group homes,0.8443958956320792,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1108390779809658748,2,Large short-stay group homes,1.6658432523017346,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1109101338587811224,0,Standard short-stay listings,1.0091310093776091,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1112700736703498011,0,Standard short-stay listings,1.477803768666229,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1112855059346083602,2,Large short-stay group homes,0.9979682772008726,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1113257819396295478,0,Standard short-stay listings,1.3537231610873355,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1113359610696092534,2,Large short-stay group homes,0.7716912653259425,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1114677477157366272,2,Large short-stay group homes,1.6265411618099712,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1118369098186511471,2,Large short-stay group homes,1.109007024068605,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1120302901203327542,2,Large short-stay group homes,1.3931860350511245,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1121491663083353455,2,Large short-stay group homes,1.1838229828346154,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1122114220607114865,2,Large short-stay group homes,1.8897298977384633,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1122455916002192977,0,Standard short-stay listings,2.319907524631676,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1122708810883482879,2,Large short-stay group homes,1.623150080967155,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1124528792002335272,0,Standard short-stay listings,1.639335994225058,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1125126387893809436,0,Standard short-stay listings,2.1343204633674406,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1125756467862944292,2,Large short-stay group homes,1.0451168525972327,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1126804565930733348,2,Large short-stay group homes,1.7682965549417606,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1127298178260260144,0,Standard short-stay listings,1.5797005967182798,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1128158185399802429,2,Large short-stay group homes,0.9406047571057818,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1128648510739728495,0,Standard short-stay listings,2.028633293707898,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1130129970212644243,0,Standard short-stay listings,1.4940795629411534,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1130196010312429090,2,Large short-stay group homes,1.4705816410198078,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1130804782193890783,2,Large short-stay group homes,2.828510950755348,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1132385684983398592,2,Large short-stay group homes,1.9647480229999792,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1132390850625125847,2,Large short-stay group homes,1.1524174946509202,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1134180016593604052,2,Large short-stay group homes,0.8752538727272131,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1135806546325004615,2,Large short-stay group homes,1.326193331248503,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1140248020970195876,2,Large short-stay group homes,1.4728718236362426,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1141070350575963864,0,Standard short-stay listings,1.7516141320332022,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1141084871779140011,0,Standard short-stay listings,0.44266943016139126,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1141928807303120978,0,Standard short-stay listings,1.7862842912552386,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1143782305629050624,1,Long-stay standard apartments,2.95972182473178,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1143852676708826785,2,Large short-stay group homes,2.1600923395357965,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1143895101916723976,2,Large short-stay group homes,1.719733636874331,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1144152482477165221,0,Standard short-stay listings,1.1266853900664133,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
1144928457779916423,0,Standard short-stay listings,1.587294654830717,20260619100041,KMeans,20260619_100041,2026-06-19 10:00:41.314016
