business_variable,group,sample_count,sample_pct,actual_price_median,predicted_price_median,mae_log,rmse_log,mae_price,rmse_price,median_absolute_percentage_error,mean_residual_price,median_residual_price,under_prediction_pct,over_prediction_pct,is_reliable_group
neighbourhood,Pra Wet,40.0,0.8592910848549946,825.0000000000002,1250.873779296875,0.4787960182343546,0.6789423487057185,2168.141819763184,8914.044031547282,35.289738926562194,1089.2320144653324,-95.37988281249989,37.5,62.5,True
neighbourhood,Don Mueang,35.0,0.7518796992481203,1332.0000000000007,1086.8251953125,0.4394656184554304,0.6708048115021957,4891.453607177736,23783.593265307867,26.1880425347222,4026.372344970705,-34.74359130859375,48.57142857142857,51.42857142857142,True
neighbourhood,Phasi Charoen,32.0,0.6874328678839957,884.9999999999997,945.93896484375,0.410348864566226,0.647509906959561,1112.1482601165771,4192.847386198312,31.787784692531375,588.8756732940675,-136.08267211914062,31.25,68.75,True
neighbourhood,Ratchathewi,249.0,5.349087003222341,1671.9999999999993,1630.6319580078125,0.2789414826359369,0.5637787292425052,4453.224993602339,58925.2996683335,19.250602722168004,4056.2427021317694,3.8204345703134095,50.602409638554214,49.39759036144578,True
neighbourhood,Samphanthawong,39.0,0.8378088077336197,1453.0,1363.0631103515625,0.33690364277864465,0.4971975537223228,641.5542759039465,976.9268986216042,24.190607101587606,52.555931678185495,-63.742004394531136,46.15384615384615,53.84615384615385,True
neighbourhood,Din Daeng,89.0,1.911922663802363,1286.0000000000005,1238.3189697265625,0.3313484239692869,0.47593058371231595,666.32067562489,1133.5724183396953,22.523915014619337,171.44744495863316,69.47094726562545,61.79775280898876,38.20224719101123,True
neighbourhood,Pom Prap Sattru Phai,32.0,0.6874328678839957,1748.5,1723.5234375,0.3381405881623254,0.46056923325056326,949.1037092208863,1907.963231386015,28.3444615571711,519.844130516052,42.32775878906193,59.375,40.625,True
neighbourhood,Chatu Chak,123.0,2.6423200859291085,1086.9999999999998,1003.5810546875,0.29441233523416066,0.4478980317301673,612.3861299840415,1775.3769205349558,19.333747320250605,214.50507112828709,23.643554687499886,52.03252032520326,47.96747967479675,True
neighbourhood,Bang Kho laen,38.0,0.8163265306122449,942.5,1083.196044921875,0.23406375816272545,0.44550768020808945,368.34315571032084,873.8807447257633,14.612750448027185,-212.82068834806742,-56.141845703125114,34.21052631578947,65.78947368421053,True
neighbourhood,Bang Kapi,66.0,1.4178302900107411,819.5,886.366943359375,0.3113446757716545,0.4353362258993749,524.4382000547466,1186.6864999458578,25.7717922099567,-12.25827211322166,-65.9063720703125,43.93939393939394,56.060606060606055,True
neighbourhood,Bang Phlat,53.0,1.1385606874328678,791.9999999999998,852.2271728515625,0.27247533665826135,0.4300889318218454,456.76810556087855,1095.3673781485331,18.21187902379917,151.45367086158606,-52.73962402343773,43.39622641509434,56.60377358490566,True
neighbourhood,Vadhana,758.0,16.283566058002148,1793.5000000000005,1793.5986328125,0.2883238279765866,0.4183747013064868,1103.260295737073,3166.720813579196,21.200108266263598,408.07834840638674,-55.08355712890477,45.77836411609499,54.221635883905016,True
neighbourhood,Khlong San,111.0,2.3845327604726103,1098.9999999999995,1100.936279296875,0.2948204709003574,0.418315383125266,777.700294288429,1997.2599055005699,18.7211063929967,338.2000369510133,-21.265258789062955,45.94594594594595,54.054054054054056,True
neighbourhood,Bang Sue,86.0,1.8474758324382383,800.0000000000003,849.4320678710938,0.21653025248073268,0.3771463140357942,361.3976596566134,1351.1427294294804,12.71153287793929,2.46191122365565,-25.801483154296818,37.2093023255814,62.7906976744186,True
neighbourhood,Huai Khwang,604.0,12.97529538131042,1400.4999999999998,1393.335693359375,0.2087068160763658,0.3741832261577762,2206.1219436948654,40389.514274210975,13.702274214340784,1898.764809210568,3.5440673828126137,50.66225165562914,49.337748344370866,True
neighbourhood,Suanluang,157.0,3.3727175080558536,1127.0000000000005,1070.835205078125,0.24306209590864028,0.36488896745581306,477.0404610603479,1265.6304720911887,14.482841106376284,274.48519975212736,52.134521484375455,60.509554140127385,39.490445859872615,True
neighbourhood,Bang Rak,154.0,3.308270676691729,1981.9999999999998,1887.6865234375,0.26615784795398345,0.3598169642693076,687.0521369042332,1124.5887177718225,19.516473912324294,293.5058980173877,16.246307373046818,53.246753246753244,46.75324675324675,True
neighbourhood,Phra Nakhon,180.0,3.866809881847476,1099.9999999999998,1218.406494140625,0.2535066781172733,0.3565559856583542,431.4432273017036,753.6337055673689,16.560101480498133,34.72487640380848,-52.9427490234375,39.44444444444444,60.55555555555555,True
neighbourhood,Sathon,244.0,5.241675617615467,1200.0,1199.0606689453125,0.2424341414009625,0.347294464594986,573.881049609575,1426.3880913875714,16.722850721534037,264.6421192356796,3.453063964843693,50.409836065573764,49.59016393442623,True
neighbourhood,Parthum Wan,97.0,2.0837808807733618,2274.0,2318.427001953125,0.26613797143096046,0.34607280351345027,946.1695361579816,1770.707753926295,23.62063828335011,236.16179161465067,-85.95397949218727,45.36082474226804,54.63917525773196,True
neighbourhood,Yan na wa,41.0,0.8807733619763695,1103.9999999999998,1183.2960205078125,0.2815655380187738,0.34584732325431544,661.8218904820884,1344.9369948219437,25.273584299649443,-284.8114251857851,-106.63281249999989,41.46341463414634,58.536585365853654,True
neighbourhood,Khlong Toei,653.0,14.027926960257787,1700.0,1561.6195068359375,0.24429035454734221,0.34218715461304194,647.5916774218152,1658.811673472508,16.893420649509807,172.4337326447047,7.353759765625114,50.84226646248086,49.15773353751914,True
neighbourhood,Lat Krabang,46.0,0.9881847475832438,1155.5,1266.7235107421875,0.24729303689733034,0.3400888136799613,426.96354476265276,727.8004477747262,19.58735571006978,152.6284484863281,-4.2917785644529545,50.0,50.0,True
neighbourhood,Phaya Thai,86.0,1.8474758324382383,1322.9999999999995,1267.97802734375,0.24252075458533606,0.3241397892090533,475.0918398125227,896.8833071554877,20.168511156650524,207.03981585835297,-1.3251037597658524,48.837209302325576,51.162790697674424,True
neighbourhood,Thon buri,59.0,1.267454350161117,941.0,1007.540283203125,0.21184606247983834,0.3229849835677962,401.25510109077055,1585.5673798066134,12.854498969184029,153.33122744802697,-19.589355468750227,45.76271186440678,54.23728813559322,True
neighbourhood,Bang Na,142.0,3.050483351235231,910.9999999999998,899.7529296875,0.23105367194941007,0.32159966689389613,366.82114292198503,983.9984201766757,15.936436636762423,73.06187331508583,-23.581756591796534,47.183098591549296,52.816901408450704,True
neighbourhood,Phra Khanong,184.0,3.9527389903329753,1266.9999999999998,1115.955078125,0.2205467597918451,0.29940527245009535,332.73126137774915,586.8272862171985,16.641550965591776,67.14767306783915,6.025848388671761,50.54347826086957,49.45652173913043,True
neighbourhood,Lat Phrao,17.0,0.3651987110633727,2282.999999999999,1058.2205810546875,0.5565273163223106,0.8479916647997677,1527.292598948759,2627.0258502117326,32.56625185651065,1360.3094518324904,657.0679931640625,64.70588235294117,35.294117647058826,False
neighbourhood,Sai Mai,8.0,0.17185821697099893,1538.5000000000002,2445.04296875,0.6440356317994634,0.8192206783363696,1504.3422813415525,2014.6913196639023,63.99753160674642,-936.8637046813963,-451.30668640136713,25.0,75.0,False
neighbourhood,Thung khru,4.0,0.08592910848549946,932.9999999999998,1323.6934814453125,0.5420479157170119,0.7350585262346598,533.0276947021486,709.8609602185667,38.39196197002366,-316.1486053466799,-187.60372924804722,25.0,75.0,False
neighbourhood,Saphan Sung,13.0,0.27926960257787325,475.00000000000017,711.9231567382812,0.4037916779213845,0.6823815336817168,1429.5705848106968,3878.3128706112952,20.236430313641442,1275.7738835261416,26.076843261718523,76.92307692307693,23.076923076923077,False
neighbourhood,Bang Khae,4.0,0.08592910848549946,929.9999999999999,806.6785888671875,0.565796932644492,0.6434292442985851,465.19232177734386,530.8688947303037,60.41559063946762,-10.910186767578153,-151.67858886718756,50.0,50.0,False
neighbourhood,Wang Thong Lang,24.0,0.5155746509129967,943.0000000000002,1055.1781005859375,0.4811471636749643,0.6332051056364473,1819.4799906412761,3965.7939468113505,30.97826570453062,-121.60266621907532,-95.3453979492188,41.66666666666667,58.333333333333336,False
neighbourhood,Dusit,18.0,0.3866809881847476,880.0000000000002,826.670166015625,0.42734070536493296,0.5988281351089239,470.04527452256946,793.6048855912517,34.88618046222342,123.2351209852431,50.99877929687483,61.111111111111114,38.88888888888889,False
neighbourhood,Bangkok Noi,27.0,0.5800214822771214,899.0000000000001,1085.264404296875,0.3648633770128864,0.4946858300294817,683.0401181821472,1357.7135838848715,22.009031800017958,414.6698201497399,-0.1146240234375,48.148148148148145,51.85185185185185,False
neighbourhood,Rat Burana,10.0,0.21482277121374865,931.4999999999998,804.93603515625,0.34273882125391103,0.4527817343387576,312.0674438476562,390.2285012613551,30.628600457702056,-58.28602905273457,-116.39964294433594,40.0,60.0,False
neighbourhood,Taling Chan,9.0,0.1933404940923738,899.0000000000001,908.5115356445312,0.29093939888734494,0.4368603491694877,390.2653876410589,699.8127423144925,20.83731643923732,307.9175279405381,-13.58489990234375,44.44444444444444,55.55555555555556,False
neighbourhood,Khan Na Yao,8.0,0.17185821697099893,884.9999999999999,961.893798828125,0.3339829739892296,0.43171070275014595,358.12424468994135,478.3041936860847,28.20683071912284,-191.82590484619138,-57.95956420898426,37.5,62.5,False
neighbourhood,Bang Khen,21.0,0.4511278195488722,767.0000000000001,1033.8974609375,0.3000656052397734,0.37479561407683215,452.3356090727312,887.2441562308804,22.990534855769205,117.65861002604193,-12.983612060546932,42.857142857142854,57.14285714285714,False
neighbourhood,Chom Thong,9.0,0.1933404940923738,1205.0000000000005,1213.773681640625,0.3103840123555995,0.34770727690666275,546.3767157660596,647.0713390051794,34.34795803493929,-492.92330593533046,-473.374267578125,22.22222222222222,77.77777777777779,False
neighbourhood,Thawi Watthana,6.0,0.12889366272824918,1114.4999999999995,1224.8134765625,0.25920829069981766,0.30625926382581614,459.0385538736982,643.4801754616318,22.332799618157622,243.78566487630215,-3.995849609375284,50.0,50.0,False
neighbourhood,Bangkok Yai,17.0,0.3651987110633727,1148.0,1195.891357421875,0.2203946265754985,0.3029348352143557,814.6930470186124,1538.7055483400704,13.79047335437672,-343.21134320427404,-98.95898437500011,41.17647058823529,58.82352941176471,False
neighbourhood,Lak Si,23.0,0.4940923737916219,917.0000000000002,722.5335693359375,0.23452494913718008,0.2784874256465139,192.75878773564872,225.35950774592385,22.55083939124795,43.58990876570993,10.190673828125455,56.52173913043478,43.47826086956522,False
neighbourhood,Khlong Sam Wa,3.0,0.06444683136412459,684.9999999999998,763.1731567382812,0.23543571697051865,0.2721654052811289,295.5831502278648,428.3741962939686,19.00818493901467,-295.5831502278648,-78.17315673828148,0.0,100.0,False
neighbourhood,Min Buri,14.0,0.30075187969924816,832.5,836.70458984375,0.20621156883992903,0.25970402385801555,287.06328909737704,480.6695274818383,14.660586155803415,1.4402247837610713,-68.32742309570312,28.57142857142857,71.42857142857143,False
neighbourhood,Bang Khun thain,6.0,0.12889366272824918,1012.9999999999998,1199.3265380859375,0.16381823786299257,0.2310926852724426,207.28035481770846,279.03632572015704,11.340625093997573,-15.634379069010341,-14.829010009765852,50.0,50.0,False
neighbourhood,Bueng Kum,11.0,0.2363050483351235,1207.0000000000002,1146.197509765625,0.1625671899207268,0.20503463767269592,204.0787242542616,272.8866139878345,13.446234130859375,105.29724121093741,83.11572265625,63.63636363636363,36.36363636363637,False
neighbourhood,Bang Bon,1.0,0.021482277121374866,606.0,743.2973022460938,0.20391179503058954,0.20391179503058954,137.29730224609375,137.29730224609375,22.65632050265573,-137.29730224609375,-137.29730224609375,0.0,100.0,False
neighbourhood,Nong Chok,3.0,0.06444683136412459,550.0000000000002,678.3203735351562,0.13233437554679148,0.14985630711905154,76.47534179687496,86.85912697763149,16.020385476239078,-76.47534179687496,-73.53356933593739,0.0,100.0,False
neighbourhood,Nong Khaem,1.0,0.021482277121374866,511.9999999999999,564.427001953125,0.09730531251355679,0.09730531251355679,52.427001953125114,52.427001953125114,10.239648818969751,-52.427001953125114,-52.427001953125114,0.0,100.0,False
