model,feature_set,n_features,successful_folds,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,mean_fit_time_seconds,feature_reduction_pct
XGBRegressor,Top 10,10,5,0.30534482638016325,0.0052598553195759975,0.4505837352414413,0.01758490797817167,0.6524327031853979,0.0171021833149082,2.3609622800009675,0.6551724137931034
XGBRegressor,Top 15,15,5,0.28706842236136654,0.00479666067460649,0.4311089027247588,0.01720517200297281,0.6818047252328883,0.016616959806573232,2.5940552800006116,0.48275862068965514
XGBRegressor,Full,29,5,0.2848730390146029,0.0036402259633130825,0.42907866711689113,0.018042059876228544,0.6848369236800945,0.016532147238976277,4.9618916200008245,0.0
