model,feature_set,trial_number,state,value,duration_seconds,learning_rate,max_leaf_nodes,max_depth,min_samples_leaf,l2_regularization,max_bins,HistGradientBoostingRegressor_fold_rows,best_cv_mae,best_cv_r2,cv_rmse_std,mean_fit_time,mean_best_iteration
HistGradientBoostingRegressor,Full,10,PRUNED,0.4251261896979901,23.960649,0.021725885808605197,38,10.0,41,7.41723469678005,127,"[{'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 10, 'fold': 1, 'rmse': 0.42425949831749926, 'mae': 0.2900011283980967, 'r2': 0.6985031081693418, 'fit_time_seconds': 13.836008400001447, 'best_iteration': 942}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 10, 'fold': 2, 'rmse': 0.42599288107848093, 'mae': 0.29683257444634775, 'r2': 0.6780595314591591, 'fit_time_seconds': 8.962650399997074, 'best_iteration': 512}]",,,,,
HistGradientBoostingRegressor,Full,11,PRUNED,0.42425694808283243,21.10613,0.03657278398374695,45,12.0,60,9.097588768404504,255,"[{'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 11, 'fold': 1, 'rmse': 0.4263589902863465, 'mae': 0.2907375130702096, 'r2': 0.6955117478603324, 'fit_time_seconds': 10.607230500005244, 'best_iteration': 485}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 11, 'fold': 2, 'rmse': 0.4221549058793183, 'mae': 0.2933488157515224, 'r2': 0.6838344330249576, 'fit_time_seconds': 9.802337299995997, 'best_iteration': 355}]",,,,,
HistGradientBoostingRegressor,Full,12,COMPLETE,0.4342907679447913,74.093973,0.022912739201850427,34,12.0,48,0.02645430796318068,255,"[{'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 12, 'fold': 1, 'rmse': 0.42677159298745587, 'mae': 0.29315560798402734, 'r2': 0.6949221345638001, 'fit_time_seconds': 14.186877599997388, 'best_iteration': 747}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 12, 'fold': 2, 'rmse': 0.4195289356799784, 'mae': 0.2904165680124974, 'r2': 0.6877555488565147, 'fit_time_seconds': 12.380872599998838, 'best_iteration': 613}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 12, 'fold': 3, 'rmse': 0.4337908215389231, 'mae': 0.2906200272259612, 'r2': 0.6669185311621786, 'fit_time_seconds': 15.280696199995873, 'best_iteration': 760}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 12, 'fold': 4, 'rmse': 0.45327724795468183, 'mae': 0.2944712918288872, 'r2': 0.6552944556553517, 'fit_time_seconds': 16.85144720000244, 'best_iteration': 872}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 12, 'fold': 5, 'rmse': 0.43808524156291767, 'mae': 0.29389189549471983, 'r2': 0.6628601727611454, 'fit_time_seconds': 12.313931999997294, 'best_iteration': 566}]",0.29251107810921856,0.6735501685997981,0.012743469734209574,14.202765119998366,711.6
HistGradientBoostingRegressor,Full,13,COMPLETE,0.4256818700538771,36.262296,0.07049921444418493,46,8.0,22,0.9079263088526603,255,"[{'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 13, 'fold': 1, 'rmse': 0.41970378562477684, 'mae': 0.28516553722172217, 'r2': 0.7049433113917546, 'fit_time_seconds': 8.590030799998203, 'best_iteration': 366}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 13, 'fold': 2, 'rmse': 0.41450806041691673, 'mae': 0.28372774784836813, 'r2': 0.6951846391400807, 'fit_time_seconds': 6.268033700005617, 'best_iteration': 310}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 13, 'fold': 3, 'rmse': 0.429839659643723, 'mae': 0.2868238007342217, 'r2': 0.6729586090747084, 'fit_time_seconds': 6.69421699999657, 'best_iteration': 451}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 13, 'fold': 4, 'rmse': 0.44384063937238766, 'mae': 0.2870364151684734, 'r2': 0.6694976452865915, 'fit_time_seconds': 6.87817090000317, 'best_iteration': 340}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 13, 'fold': 5, 'rmse': 0.42051720521158115, 'mae': 0.2816284373980702, 'r2': 0.689357871473369, 'fit_time_seconds': 6.426614500000142, 'best_iteration': 378}]",0.2848763876741711,0.6863884152733009,0.011557393689907325,6.97141338000074,369.0
HistGradientBoostingRegressor,Full,14,COMPLETE,0.4269389093305855,30.657147,0.08485412137854174,63,8.0,23,0.02463749554939712,255,"[{'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 14, 'fold': 1, 'rmse': 0.42032946444404384, 'mae': 0.28619562133248205, 'r2': 0.7040629365546591, 'fit_time_seconds': 7.045398700000078, 'best_iteration': 317}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 14, 'fold': 2, 'rmse': 0.41404753987900295, 'mae': 0.28307757614509893, 'r2': 0.6958615656917363, 'fit_time_seconds': 5.070697700000892, 'best_iteration': 263}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 14, 'fold': 3, 'rmse': 0.4325674834211815, 'mae': 0.288491642535186, 'r2': 0.6687945353555466, 'fit_time_seconds': 5.847712800001318, 'best_iteration': 288}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 14, 'fold': 4, 'rmse': 0.4448067904679005, 'mae': 0.28744787788304, 'r2': 0.6680572059668837, 'fit_time_seconds': 5.181024199999229, 'best_iteration': 262}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 14, 'fold': 5, 'rmse': 0.4229432684407988, 'mae': 0.28157113552703045, 'r2': 0.6857631961904344, 'fit_time_seconds': 6.252201400006015, 'best_iteration': 285}]",0.2853567706845675,0.684507887951852,0.012008115347506752,5.879406960001506,283.0
HistGradientBoostingRegressor,Full,15,COMPLETE,0.42514754457056264,35.485815,0.10179428326797643,49,8.0,22,0.0075352582105867325,255,"[{'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 15, 'fold': 1, 'rmse': 0.4173234367148151, 'mae': 0.28293194434533325, 'r2': 0.7082806470909562, 'fit_time_seconds': 7.810387800003809, 'best_iteration': 371}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 15, 'fold': 2, 'rmse': 0.41578780969201806, 'mae': 0.28541535487597275, 'r2': 0.6932995640319846, 'fit_time_seconds': 4.26610530000471, 'best_iteration': 188}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 15, 'fold': 3, 'rmse': 0.4270954806289724, 'mae': 0.28496155727476774, 'r2': 0.6771210697639126, 'fit_time_seconds': 9.125116299997899, 'best_iteration': 451}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 15, 'fold': 4, 'rmse': 0.4438375239379542, 'mae': 0.28865415856709986, 'r2': 0.6695022850365879, 'fit_time_seconds': 6.067713500000536, 'best_iteration': 218}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 15, 'fold': 5, 'rmse': 0.4216934718790537, 'mae': 0.2802911875422563, 'r2': 0.6876175905972622, 'fit_time_seconds': 6.84457459999976, 'best_iteration': 369}]",0.284450840521086,0.6871642313041407,0.011334258936234189,6.822779500001343,319.4
HistGradientBoostingRegressor,Full,16,COMPLETE,0.423184109924961,27.928577,0.11862602699552063,48,8.0,10,0.002359369506502177,255,"[{'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 16, 'fold': 1, 'rmse': 0.41766118989323686, 'mae': 0.2810466752056026, 'r2': 0.7078082604413274, 'fit_time_seconds': 5.702826200002164, 'best_iteration': 258}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 16, 'fold': 2, 'rmse': 0.4120931427674053, 'mae': 0.2820410945296858, 'r2': 0.6987259923707563, 'fit_time_seconds': 5.261154599997099, 'best_iteration': 230}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 16, 'fold': 3, 'rmse': 0.4301311357356382, 'mae': 0.2862135088892068, 'r2': 0.6725149223908997, 'fit_time_seconds': 4.931063500000164, 'best_iteration': 226}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 16, 'fold': 4, 'rmse': 0.43825102940970395, 'mae': 0.2854431723769148, 'r2': 0.6777697429376027, 'fit_time_seconds': 4.782168999998248, 'best_iteration': 235}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 16, 'fold': 5, 'rmse': 0.41778405181882106, 'mae': 0.2785748764187026, 'r2': 0.6933827885590085, 'fit_time_seconds': 6.374423100001877, 'best_iteration': 204}]",0.2826638654840225,0.6900403413399189,0.010699837102620178,5.41032727999991,230.6
HistGradientBoostingRegressor,Full,17,COMPLETE,0.4245456096593848,28.123295,0.12437821972721093,49,8.0,10,0.0015151557954303882,255,"[{'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 17, 'fold': 1, 'rmse': 0.41907529969237295, 'mae': 0.28458568813453433, 'r2': 0.7058263157462048, 'fit_time_seconds': 5.482621099996322, 'best_iteration': 190}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 17, 'fold': 2, 'rmse': 0.41700648683607794, 'mae': 0.28418984489377436, 'r2': 0.6914990467381305, 'fit_time_seconds': 4.673034100000223, 'best_iteration': 196}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 17, 'fold': 3, 'rmse': 0.43261982489126605, 'mae': 0.28795216420562075, 'r2': 0.668714377551667, 'fit_time_seconds': 4.424379700001737, 'best_iteration': 193}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 17, 'fold': 4, 'rmse': 0.438543106673333, 'mae': 0.28533443355198684, 'r2': 0.6773400919485864, 'fit_time_seconds': 5.639244400001189, 'best_iteration': 234}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 17, 'fold': 5, 'rmse': 0.41548333020387435, 'mae': 0.2780485767205543, 'r2': 0.6967505496032269, 'fit_time_seconds': 6.708783599999151, 'best_iteration': 229}]",0.2840221415012941,0.6880260763175631,0.01036834662899653,5.385612579999725,208.4
HistGradientBoostingRegressor,Full,18,COMPLETE,0.42612201421357554,24.653909,0.13299490233600578,53,8.0,12,0.0003095283223045501,255,"[{'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 18, 'fold': 1, 'rmse': 0.42101553561549687, 'mae': 0.2865747139065473, 'r2': 0.7030960779201167, 'fit_time_seconds': 3.8891701999964425, 'best_iteration': 155}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 18, 'fold': 2, 'rmse': 0.4128436144868575, 'mae': 0.28308390769987946, 'r2': 0.6976276800006791, 'fit_time_seconds': 4.587199800000235, 'best_iteration': 166}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 18, 'fold': 3, 'rmse': 0.4326227510112434, 'mae': 0.2869752992163971, 'r2': 0.6687098960891883, 'fit_time_seconds': 5.090719200001331, 'best_iteration': 213}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 18, 'fold': 4, 'rmse': 0.4480663013466632, 'mae': 0.29254440414132626, 'r2': 0.6631744772255144, 'fit_time_seconds': 4.2671121999956085, 'best_iteration': 128}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 18, 'fold': 5, 'rmse': 0.4160618686076167, 'mae': 0.27662702391989463, 'r2': 0.6959054442204393, 'fit_time_seconds': 6.004393800001708, 'best_iteration': 246}]",0.28516106977680894,0.6857027150911875,0.01438236654101285,4.767719039999065,181.6
HistGradientBoostingRegressor,Full,19,PRUNED,0.4185168794768998,9.949712,0.1298175171324943,33,8.0,10,0.0007109581564134806,255,"[{'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 19, 'fold': 1, 'rmse': 0.41942231007661207, 'mae': 0.28310756278657667, 'r2': 0.7053389399123067, 'fit_time_seconds': 6.029371099997661, 'best_iteration': 298}, {'model': 'HistGradientBoostingRegressor', 'feature_set': 'Full', 'trial_number': 19, 'fold': 2, 'rmse': 0.41761144887718754, 'mae': 0.2882426549012746, 'r2': 0.6906032969225846, 'fit_time_seconds': 3.527148599998327, 'best_iteration': 149}]",,,,,
