feature,n_encoded_columns,mutual_info_sum,mutual_info_mean,mutual_info_max,rank
neighbourhood,44,0.40549334622708144,0.009215757868797305,0.06671340946239224,1
property_base_group,11,0.192996117907119,0.01754510162791991,0.06831288673594793,2
room_type,4,0.17591179425878545,0.04397794856469636,0.07628435465295813,3
host_response_time,6,0.14375566152603425,0.023959276921005707,0.05971480903697657,4
