price_segment,sample_count,sample_pct,actual_price_median,predicted_price_median,mae_log,rmse_log,mae_price,rmse_price,median_absolute_percentage_error,mean_residual_price,median_residual_price,under_prediction_pct,over_prediction_pct,is_reliable_group
"< 1,000 THB",1358.0,29.172932330827066,764.0,891.6975708007812,0.2745697007577051,0.39056366128803177,254.23949887440025,469.2395898564806,20.774019260663117,-219.2683454016347,-132.24258422851574,20.544918998527244,79.45508100147275,True
"1,000-2,000 THB",1914.0,41.11707841031149,1389.0,1393.335693359375,0.18241720307601325,0.25091517997978585,273.81203089986104,428.13386540083985,13.267126103797695,-43.344530972567505,11.259338378905909,51.98537095088819,48.014629049111804,True
"2,000-5,000 THB",1039.0,22.320085929108487,2784.000000000001,2414.304931640625,0.31113604496308844,0.41297669181665686,844.592497105089,1191.596885662287,22.990534855769205,262.4217387136067,331.22192382812455,68.04619826756496,31.953801732435032,True
"5,000-10,000 THB",254.0,5.456498388829216,6340.499999999998,4983.8251953125,0.40987882578677365,0.5626958086366111,2167.079452875092,2837.939515031237,27.412921769450193,1277.3671543391674,1373.1531982421889,77.95275590551181,22.04724409448819,True
"> 10,000 THB",90.0,1.933404940923738,15233.000000000004,8611.826171875,0.9458193167051334,1.4327203587342152,33073.8821085612,144638.47869327434,45.520978149358015,32515.54849310981,6799.796630859376,90.0,10.0,True
