model,fold,n_train,n_validation,n_features,mae,rmse,r2,adjusted_r2,fit_time_seconds,predict_time_seconds,status,error_message
DummyRegressor,1,14894,3724,88,0.5681132338434999,0.7792190609365602,-0.01704185526158364,-0.04166350127616947,0.3377478999999539,0.0449469999999792,success,
DummyRegressor,2,14894,3724,89,0.5572403056789476,0.7565619850613114,-0.01545321702951541,-0.040322599614993404,0.31185100000004695,0.057138899999984005,success,
DummyRegressor,3,14894,3724,89,0.5531753529753919,0.7578126362491928,-0.016514175283055765,-0.04140954171128697,0.2674781999999709,0.03846299999997882,success,
DummyRegressor,4,14895,3723,89,0.5571438132008033,0.7766153097201162,-0.011887715253141584,-0.0366765967993925,0.25701939999999013,0.0437746000000061,success,
DummyRegressor,5,14895,3723,90,0.548362044272228,0.7610382044521136,-0.017432796305985265,-0.0426445120734793,0.2746827999999937,0.0415211000000113,success,
Ridge,1,14894,3724,88,0.38326044831576633,0.5302534258199195,0.5290371431293728,0.5176355664018308,0.39625409999996464,0.04430710000002591,success,
Ridge,2,14894,3724,89,0.37471442588705856,0.5154952472904485,0.5285667391261355,0.5170209052742439,0.2913725000000227,0.11171699999999873,success,
Ridge,3,14894,3724,89,0.3745874065153809,0.540113197373773,0.48363198628075044,0.4709856590322603,0.3124273000000244,0.04150279999998929,success,
Ridge,4,14895,3723,89,0.3841011456298956,0.5549954563832626,0.4832276324613999,0.4705679185305065,0.3037335000000212,0.037968400000011115,success,
Ridge,5,14895,3723,90,0.37233819590137024,0.5280313549189655,0.5102073782144518,0.4980704465072109,0.26544419999999036,0.06727989999995998,success,
RandomForestRegressor,1,14894,3724,88,0.2903374420464545,0.44128735176180006,0.6738160025562252,0.6659193885878477,44.38384079999997,0.286038700000006,success,
RandomForestRegressor,2,14894,3724,89,0.2880086977825421,0.4475512679203094,0.6446498751107625,0.6359470239508445,47.83473200000003,0.2878623999999945,success,
RandomForestRegressor,3,14894,3724,89,0.2839679848722691,0.4422859528755192,0.6537450056046066,0.6452649025497936,48.36361739999995,0.34128499999997075,success,
RandomForestRegressor,4,14895,3723,89,0.2917480348892699,0.46518167320248804,0.6369506856245605,0.628056826835842,45.36789199999998,0.2843153999999686,success,
RandomForestRegressor,5,14895,3723,90,0.2825040233140241,0.43343342474396973,0.6699820111197278,0.661804252584699,46.9434493,0.3214024999999765,success,
HistGradientBoostingRegressor,1,14894,3724,88,0.28951351469713915,0.4223699623975212,0.7011826973786389,0.6939486058708866,12.25160399999993,0.30769339999994827,success,
HistGradientBoostingRegressor,2,14894,3724,89,0.2843446340597712,0.41146414150736105,0.6996449938639517,0.6922890237081707,5.622139300000072,0.23207920000004378,success,
HistGradientBoostingRegressor,3,14894,3724,89,0.28987953098441793,0.4328660628496021,0.6683371488348893,0.6602144207793871,15.61307099999999,0.9301959000000579,success,
HistGradientBoostingRegressor,4,14895,3723,89,0.2924104307746044,0.44783861220567167,0.663516712416842,0.6552736591289529,9.49275769999997,0.2723231999999598,success,
HistGradientBoostingRegressor,5,14895,3723,90,0.28557152508566647,0.4235647653010881,0.6848390028438193,0.6770293966367553,6.086228399999982,0.27817930000003344,success,
XGBRegressor,1,14894,3724,88,0.29488286694510096,0.4294360995034623,0.6911007952428385,0.683622630175815,4.534924700000033,0.09724479999999858,success,
XGBRegressor,2,14894,3724,89,0.2918743414863967,0.4232127231289487,0.6822479802555217,0.67446594124692,3.4819347999999763,0.08632889999989857,success,
XGBRegressor,3,14894,3724,89,0.29609011597327584,0.4356542185716302,0.6640508075795686,0.6558231030871584,4.652143099999989,0.09360070000002452,success,
XGBRegressor,4,14895,3723,89,0.2991338596427703,0.457054975411839,0.6495247857554773,0.6409389630007947,3.350723099999982,0.09380020000003242,success,
XGBRegressor,5,14895,3723,90,0.2911183985850686,0.4255387484738778,0.6818946022350991,0.6740120345592068,2.941218400000025,0.08892820000005486,success,
CatBoostRegressor,1,14894,3724,29,0.3227279270510967,0.45780792852840746,0.6489359889012001,0.6461799368378907,16.970852499999978,0.030559400000015557,success,
CatBoostRegressor,2,14894,3724,29,0.3172239830898988,0.446560931458039,0.6462207647613503,0.6434433966449667,18.659691099999918,0.026087500000016917,success,
CatBoostRegressor,3,14894,3724,29,0.3210401960012037,0.46181781223224244,0.6224876941560058,0.6195240079433703,13.623399100000029,0.05137439999998605,success,
CatBoostRegressor,4,14895,3723,29,0.31994567187250766,0.47716650078938416,0.6180026753292491,0.6150029671203534,14.820357400000034,0.021370100000012826,success,
CatBoostRegressor,5,14895,3723,29,0.31543092700010733,0.4579088465993329,0.6316583047785829,0.6287658300530423,13.542052800000079,0.0200312000000622,success,
