model,feature_set,n_trials,completed_trials,pruned_trials,best_cv_rmse,best_cv_mae,best_cv_r2,cv_rmse_std,mean_fit_time,mean_best_iteration,best_params,tuning_time_seconds,baseline_rmse,rmse_improvement,rmse_improvement_pct
HistGradientBoostingRegressor,Full,30,25,5,0.4306175265223572,0.2827920908556831,0.6825551087579349,0.017652815525229515,5.685671199999343,200.8,"{""learning_rate"": 0.1317609852838106, ""max_leaf_nodes"": 57, ""max_depth"": null, ""min_samples_leaf"": 17, ""l2_regularization"": 0.00011515414867394198, ""max_bins"": 255}",827.2318929999965,,,
XGBRegressor,Selected,30,13,17,0.41859073928966656,0.2702969376875449,0.7000572928336403,0.01828167617017439,13.35129873999831,974.6,"{""learning_rate"": 0.034246398779081366, ""max_depth"": 8, ""min_child_weight"": 4, ""subsample"": 0.7650915513722765, ""colsample_bytree"": 0.8207240159340592, ""gamma"": 0.03262752834716495, ""reg_alpha"": 0.001997728480368332, ""reg_lambda"": 0.01363366782252473}",952.8111892000015,,,
