model,feature_set,trial_number,state,value,duration_seconds,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,XGBRegressor_fold_rows,best_cv_mae,best_cv_r2,cv_rmse_std,mean_fit_time,mean_best_iteration
XGBRegressor,Selected,10,PRUNED,0.4861601738165545,9.784184,0.13192467951559464,3,6,0.6071847502459279,0.8083907402029188,2.2646904032072945,4.3444691085504035,0.9281161710775688,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 10, 'fold': 1, 'rmse': 0.5051604917460324, 'mae': 0.34087135139910957, 'r2': 0.5819750214414103, 'fit_time_seconds': 7.003746300004423, 'best_iteration': 768, 'best_n_estimators': 769}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 10, 'fold': 2, 'rmse': 0.4671598558870766, 'mae': 0.33983875071987635, 'r2': 0.6044735600001818, 'fit_time_seconds': 2.625609599999734, 'best_iteration': 226, 'best_n_estimators': 227}]",,,,,
XGBRegressor,Selected,11,COMPLETE,0.42910801014013716,20.324148,0.10872684973353254,9,10,0.8173629367805869,0.886588474674238,0.1723790182206642,0.0002630142290222788,0.0011676495014079735,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 11, 'fold': 1, 'rmse': 0.45130862875314376, 'mae': 0.28731181980343906, 'r2': 0.6663502892396321, 'fit_time_seconds': 4.150468899999396, 'best_iteration': 319, 'best_n_estimators': 320}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 11, 'fold': 2, 'rmse': 0.4023584335693145, 'mae': 0.2737928799732144, 'r2': 0.7065928410095393, 'fit_time_seconds': 4.4107841000004555, 'best_iteration': 376, 'best_n_estimators': 377}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 11, 'fold': 3, 'rmse': 0.4385634183037882, 'mae': 0.28192253824466973, 'r2': 0.6762722425980743, 'fit_time_seconds': 4.009965999997803, 'best_iteration': 317, 'best_n_estimators': 318}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 11, 'fold': 4, 'rmse': 0.42940089241946383, 'mae': 0.2831554602926562, 'r2': 0.6987990847254764, 'fit_time_seconds': 3.8600726000004215, 'best_iteration': 279, 'best_n_estimators': 280}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 11, 'fold': 5, 'rmse': 0.42390867765497564, 'mae': 0.28427140768400466, 'r2': 0.6758820109330943, 'fit_time_seconds': 3.4856719999952475, 'best_iteration': 261, 'best_n_estimators': 262}]",0.28209082119959683,0.6847792937011633,0.018199800104537672,3.9833927199986645,310.4
XGBRegressor,Selected,12,COMPLETE,0.4274658335438041,17.381935,0.14603392252199635,9,7,0.8072636662657275,0.8560882778664998,0.03725473704636664,0.0010415190793183887,0.0015292060481363336,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 12, 'fold': 1, 'rmse': 0.44594487220817025, 'mae': 0.28117333127019567, 'r2': 0.674233945818217, 'fit_time_seconds': 4.004083799998625, 'best_iteration': 221, 'best_n_estimators': 222}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 12, 'fold': 2, 'rmse': 0.40435847197236047, 'mae': 0.2730217324280719, 'r2': 0.7036686618231884, 'fit_time_seconds': 3.104975199996261, 'best_iteration': 138, 'best_n_estimators': 139}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 12, 'fold': 3, 'rmse': 0.43992169134179926, 'mae': 0.27936383009060245, 'r2': 0.6742639054715807, 'fit_time_seconds': 3.373382699996, 'best_iteration': 169, 'best_n_estimators': 170}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 12, 'fold': 4, 'rmse': 0.42718977897708993, 'mae': 0.2797225160767209, 'r2': 0.7018930452420957, 'fit_time_seconds': 3.267232600002899, 'best_iteration': 164, 'best_n_estimators': 165}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 12, 'fold': 5, 'rmse': 0.4199143532196003, 'mae': 0.2788112921307418, 'r2': 0.681961306149682, 'fit_time_seconds': 3.2590313000036986, 'best_iteration': 184, 'best_n_estimators': 185}]",0.27841854039926656,0.6872041729009528,0.01648995515038691,3.401741119999497,175.2
XGBRegressor,Selected,13,PRUNED,0.4623250845659622,7.955485,0.080882223845851,8,5,0.7856463716102745,0.8056891692692755,1.9042343278922118,0.0005844317258424099,0.0010274006763268467,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 13, 'fold': 1, 'rmse': 0.48767693722716005, 'mae': 0.32442045817965637, 'r2': 0.6104098983113924, 'fit_time_seconds': 2.9543575000061537, 'best_iteration': 254, 'best_n_estimators': 255}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 13, 'fold': 2, 'rmse': 0.43697323190476445, 'mae': 0.311798824650256, 'r2': 0.6539378063954997, 'fit_time_seconds': 4.836057000000437, 'best_iteration': 527, 'best_n_estimators': 528}]",,,,,
XGBRegressor,Selected,14,COMPLETE,0.4228260724377752,39.315393,0.06626718072015084,9,8,0.7376329499992832,0.8445992291532871,0.03359660618000754,0.0001319968782396929,0.010503199186181447,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 14, 'fold': 1, 'rmse': 0.44351032409361235, 'mae': 0.2773487650535098, 'r2': 0.6777811477908542, 'fit_time_seconds': 12.113173099998676, 'best_iteration': 645, 'best_n_estimators': 646}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 14, 'fold': 2, 'rmse': 0.39891914804271994, 'mae': 0.26682473326786793, 'r2': 0.7115873835086695, 'fit_time_seconds': 6.785866500002157, 'best_iteration': 474, 'best_n_estimators': 475}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 14, 'fold': 3, 'rmse': 0.43026681861593846, 'mae': 0.27207331417622893, 'r2': 0.6884047396607766, 'fit_time_seconds': 7.444008899998153, 'best_iteration': 533, 'best_n_estimators': 534}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 14, 'fold': 4, 'rmse': 0.4238351779273049, 'mae': 0.2744805836072223, 'r2': 0.7065565623755752, 'fit_time_seconds': 6.9796407999965595, 'best_iteration': 455, 'best_n_estimators': 456}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 14, 'fold': 5, 'rmse': 0.4175988935093003, 'mae': 0.279752326925529, 'r2': 0.6854590454386029, 'fit_time_seconds': 5.368755700001202, 'best_iteration': 321, 'best_n_estimators': 322}]",0.27409594460607156,0.6939577757548957,0.01645513368010142,7.73828899999935,485.6
XGBRegressor,Selected,15,PRUNED,0.46072478359134117,8.399455,0.07453327645011878,6,8,0.6758836621589127,0.7808257599072944,1.5796523556565853,0.00019403205656045658,0.017310377263851612,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 15, 'fold': 1, 'rmse': 0.48524878410023975, 'mae': 0.3238685369902532, 'r2': 0.6142797937852663, 'fit_time_seconds': 3.75002709999535, 'best_iteration': 362, 'best_n_estimators': 363}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 15, 'fold': 2, 'rmse': 0.43620078308244253, 'mae': 0.3118852520758126, 'r2': 0.6551602110844084, 'fit_time_seconds': 4.467093599996588, 'best_iteration': 434, 'best_n_estimators': 435}]",,,,,
XGBRegressor,Selected,16,PRUNED,0.47189375599542893,10.553086,0.077595284739366,10,9,0.7438746353223531,0.9985991682819424,2.912554411220168,3.6656795065589946e-05,0.5628245784138218,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 16, 'fold': 1, 'rmse': 0.4969710226655431, 'mae': 0.3315231665950786, 'r2': 0.5954188803488891, 'fit_time_seconds': 5.195950299996184, 'best_iteration': 565, 'best_n_estimators': 566}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 16, 'fold': 2, 'rmse': 0.4468164893253147, 'mae': 0.3213840628365037, 'r2': 0.6381714159305131, 'fit_time_seconds': 5.194703799999843, 'best_iteration': 551, 'best_n_estimators': 552}]",,,,,
XGBRegressor,Selected,17,COMPLETE,0.43124349078175184,18.233491,0.14369978905759076,8,13,0.6485488128484826,0.8628581217310244,0.13609513195598488,6.628285444745692e-07,0.0026358436775733313,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 17, 'fold': 1, 'rmse': 0.4538052955081076, 'mae': 0.291929378779521, 'r2': 0.6626485373814692, 'fit_time_seconds': 3.8479770999983884, 'best_iteration': 265, 'best_n_estimators': 266}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 17, 'fold': 2, 'rmse': 0.4071468975208585, 'mae': 0.2744936921811894, 'r2': 0.6995676129984565, 'fit_time_seconds': 4.65333439999813, 'best_iteration': 355, 'best_n_estimators': 356}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 17, 'fold': 3, 'rmse': 0.44179466064701367, 'mae': 0.28522289454152994, 'r2': 0.6714843542126254, 'fit_time_seconds': 3.730280700001458, 'best_iteration': 253, 'best_n_estimators': 254}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 17, 'fold': 4, 'rmse': 0.43067822600263583, 'mae': 0.28914756905628697, 'r2': 0.697004462110607, 'fit_time_seconds': 2.5463044999996782, 'best_iteration': 144, 'best_n_estimators': 145}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 17, 'fold': 5, 'rmse': 0.42279237423014393, 'mae': 0.288673768385761, 'r2': 0.6775868008905452, 'fit_time_seconds': 3.05672069999855, 'best_iteration': 203, 'best_n_estimators': 204}]",0.2858934605888577,0.6816583535187407,0.017837803396551666,3.566923479999241,244.0
XGBRegressor,Selected,18,PRUNED,0.4511211230483819,12.68138,0.05874194704674822,7,5,0.8538358538355327,0.9382582073429743,1.1142562304519625,0.021564501955765435,0.014116892366116655,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 18, 'fold': 1, 'rmse': 0.4722325308400425, 'mae': 0.3131640655852104, 'r2': 0.6346952822937411, 'fit_time_seconds': 6.478703900000255, 'best_iteration': 714, 'best_n_estimators': 715}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 18, 'fold': 2, 'rmse': 0.4300097152567213, 'mae': 0.30424541752118855, 'r2': 0.6648794776550186, 'fit_time_seconds': 6.007714700004726, 'best_iteration': 499, 'best_n_estimators': 500}]",,,,,
XGBRegressor,Selected,19,PRUNED,0.47165618665802145,11.093461,0.1050898202280654,9,8,0.7730982444721965,0.8801826932950912,2.36061287588024,2.1957675728089083,0.12483338456722629,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 19, 'fold': 1, 'rmse': 0.49538966646489463, 'mae': 0.33129866937268626, 'r2': 0.5979895290820976, 'fit_time_seconds': 6.644984400001704, 'best_iteration': 644, 'best_n_estimators': 645}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 19, 'fold': 2, 'rmse': 0.4479227068511483, 'mae': 0.3214002719642128, 'r2': 0.6363775850892104, 'fit_time_seconds': 4.283736400000635, 'best_iteration': 438, 'best_n_estimators': 439}]",,,,,
