model,feature_set,trial_number,fold,rmse,mae,r2,fit_time_seconds,best_iteration,best_n_estimators
XGBRegressor,Selected,22,1,0.4399171696931706,0.2748742447809433,0.6829809912480963,13.889079399996263,1088,1089
XGBRegressor,Selected,22,2,0.3908455361367213,0.2608243669964545,0.7231434509464141,14.727872700001171,1006,1007
XGBRegressor,Selected,22,3,0.4277847111310494,0.2689318176287032,0.6919894088775211,16.058826699998463,1113,1114
XGBRegressor,Selected,22,4,0.4206589912589297,0.27169103485651586,0.7109381658844623,12.68785129999742,961,962
XGBRegressor,Selected,22,5,0.413747288228462,0.27516322417510786,0.6912344472117072,9.392863599998236,705,706
