price_segment,count,actual_mean,actual_median,predicted_mean,predicted_median,mae,median_ae,bias,mape,rmse,small_sample_flag
"> 10,000 THB",84,22840.52380952381,15280.500000000007,10227.625139642858,9087.682,13573.772731962661,6514.092285156251,12612.898669880953,0.47747432917733607,29482.78831300595,False
"5,000-10,000 THB",234,6684.508547008548,6271.499999999996,5853.493365384616,5402.4272,2379.3429740188467,1918.025024414067,831.0151816239322,0.3498776344938451,3137.3049595265898,False
"2,000-5,000 THB",1001,2957.4385614385615,2775.000000000001,2710.57537997003,2476.9207,778.1069037164008,562.8613281250005,246.8631814685314,0.2605777873259556,1080.5318066776038,False
"1,000-2,000 THB",1923,1424.8829953198128,1399.999999999999,1464.9272114872595,1395.9817,269.1480917769425,183.3956298828125,-40.04421616744674,0.19134436627404042,449.3540720059899,False
"< 1,000 THB",1413,742.4543524416135,775.0000000000002,952.9846505279547,879.56256,244.7341320310513,133.5745849609375,-210.53029808634113,0.3615750740503369,446.777976108591,False
