room_type,count,actual_mean,actual_median,predicted_mean,predicted_median,mae,median_ae,bias,mape,rmse,small_sample_flag
Hotel room,32,2380.5,2202.0,2121.6831025,1839.75755,743.5578670501708,580.7153930664058,258.8168975,0.43204810598399,1087.7141654490965,False
Entire home/apt,3331,2386.7517262083456,1485.0000000000002,2148.28403580006,1468.7753,735.8594783255016,228.31494140625023,238.46769040828585,0.2491816747399191,3921.388313777729,False
Private room,1232,1763.0332792207791,1111.5,1502.115794185065,1164.79695,693.2068181781025,237.27471923828105,260.9174850357142,0.3282060261525282,4584.217326399092,False
Shared room,60,563.5,368.9999999999999,521.8602083333333,396.56105,170.94518381754554,51.14022827148432,41.63979166666662,0.22464748406283858,361.1960083765242,False
