feature_name,source_feature,feature_level,importance_value,importance_rank
categorical__neighbourhood_Pom Prap Sattru Phai,neighbourhood,TRANSFORMED,0.001988989161503923,52
categorical__property_base_group_Hostel,property_base_group,TRANSFORMED,0.0018945723162892135,53
categorical__neighbourhood_Samphanthawong,neighbourhood,TRANSFORMED,0.0018204743348355806,54
categorical__neighbourhood_Saphan Sung,neighbourhood,TRANSFORMED,0.0017994426832228783,55
categorical__neighbourhood_Thon buri,neighbourhood,TRANSFORMED,0.0017466717090941302,56
categorical__neighbourhood_Rat Burana,neighbourhood,TRANSFORMED,0.0015334418310667388,57
categorical__neighbourhood_Bangkok Noi,neighbourhood,TRANSFORMED,0.0015085757885035492,58
categorical__neighbourhood_Wang Thong Lang,neighbourhood,TRANSFORMED,0.0013443272301883553,59
categorical__property_base_group_Loft,property_base_group,TRANSFORMED,0.0012893727337850579,60
categorical__host_response_time_a few days or more,host_response_time,TRANSFORMED,0.0012761256665298787,61
categorical__neighbourhood_Yan na wa,neighbourhood,TRANSFORMED,0.0011946801680776389,62
categorical__neighbourhood_Bueng Kum,neighbourhood,TRANSFORMED,0.0009523944903048687,63
categorical__neighbourhood_Bangkok Yai,neighbourhood,TRANSFORMED,0.0009306659171559204,64
categorical__neighbourhood_Lat Phrao,neighbourhood,TRANSFORMED,0.0008261401838303755,65
categorical__neighbourhood_Bang Kho laen,neighbourhood,TRANSFORMED,0.0007945636456646526,66
categorical__property_base_group_Unique Stay,property_base_group,TRANSFORMED,0.00062167799138399,67
categorical__neighbourhood_Khan Na Yao,neighbourhood,TRANSFORMED,0.000563976058487242,68
categorical__room_type_Hotel room,room_type,TRANSFORMED,0.0005627246338978011,69
categorical__neighbourhood_Chom Thong,neighbourhood,TRANSFORMED,0.0003288120265529528,70
categorical__property_base_group_Other,property_base_group,TRANSFORMED,0.00032534798829487956,71
categorical__host_response_time_infrequent_sklearn,host_response_time,TRANSFORMED,0.00028236217770609076,72
categorical__neighbourhood_Dusit,neighbourhood,TRANSFORMED,0.0002805807313516198,73
categorical__property_base_group_infrequent_sklearn,property_base_group,TRANSFORMED,4.907868775717361e-05,74
