feature_name,source_feature,feature_level,importance_value,importance_rank
numeric__bedrooms,bedrooms,TRANSFORMED,0.17745079223066568,1
numeric__accommodates,accommodates,TRANSFORMED,0.15060160618468946,2
categorical__neighbourhood_Vadhana,neighbourhood,TRANSFORMED,0.07751948573207483,3
review_score__review_scores_location,review_scores_location,TRANSFORMED,0.05599273858712695,4
numeric__number_of_reviews_ltm,number_of_reviews_ltm,TRANSFORMED,0.05113707163570507,5
numeric__bathrooms,bathrooms,TRANSFORMED,0.050923806678387334,6
categorical__neighbourhood_Khlong Toei,neighbourhood,TRANSFORMED,0.04701207467122003,7
categorical__room_type_Entire home/apt,room_type,TRANSFORMED,0.04686644978134427,8
numeric__host_total_listings_count,host_total_listings_count,TRANSFORMED,0.044245334171835564,9
numeric__calculated_host_listings_count,calculated_host_listings_count,TRANSFORMED,0.04347589920059545,10
numeric__minimum_nights,minimum_nights,TRANSFORMED,0.04269910786638138,11
numeric__host_listings_count,host_listings_count,TRANSFORMED,0.042250609967759374,12
categorical__host_response_time_N/A,host_response_time,TRANSFORMED,0.04073859508521855,13
numeric__host_acceptance_rate,host_acceptance_rate,TRANSFORMED,0.028663732305346003,14
categorical__property_base_group_Hotel / Resort,property_base_group,TRANSFORMED,0.024667289109900594,15
categorical__neighbourhood_Ratchathewi,neighbourhood,TRANSFORMED,0.024207425163476726,16
categorical__neighbourhood_Huai Khwang,neighbourhood,TRANSFORMED,0.022583177590735432,17
numeric__host_response_rate,host_response_rate,TRANSFORMED,0.01813052666463409,18
categorical__room_type_Shared room,room_type,TRANSFORMED,0.017323443006491288,19
categorical__neighbourhood_Parthum Wan,neighbourhood,TRANSFORMED,0.01685153068508953,20
categorical__host_response_time_within an hour,host_response_time,TRANSFORMED,0.016832727873035764,21
categorical__neighbourhood_Bang Rak,neighbourhood,TRANSFORMED,0.016157386753009633,22
categorical__room_type_Private room,room_type,TRANSFORMED,0.01572409869809053,23
categorical__property_base_group_House / Home,property_base_group,TRANSFORMED,0.009485494371640925,24
categorical__neighbourhood_Bang Na,neighbourhood,TRANSFORMED,0.009359810221212683,25
categorical__property_base_group_Serviced Apartment / Aparthotel,property_base_group,TRANSFORMED,0.007299497705986141,26
categorical__neighbourhood_Sathon,neighbourhood,TRANSFORMED,0.007153445246973661,27
categorical__neighbourhood_Bang Sue,neighbourhood,TRANSFORMED,0.006823809055800666,28
categorical__neighbourhood_Phra Khanong,neighbourhood,TRANSFORMED,0.005886292122829673,29
categorical__neighbourhood_Phra Nakhon,neighbourhood,TRANSFORMED,0.005483367894225012,30
categorical__property_base_group_Apartment / Condo,property_base_group,TRANSFORMED,0.005183248382994861,31
categorical__neighbourhood_infrequent_sklearn,neighbourhood,TRANSFORMED,0.004632061768676067,32
categorical__neighbourhood_Bang Kapi,neighbourhood,TRANSFORMED,0.004417295362625737,33
categorical__neighbourhood_Chatu Chak,neighbourhood,TRANSFORMED,0.004363482570440283,34
categorical__host_response_time_within a few hours,host_response_time,TRANSFORMED,0.004073482712046825,35
categorical__neighbourhood_Suanluang,neighbourhood,TRANSFORMED,0.003588920264350236,36
categorical__neighbourhood_Phaya Thai,neighbourhood,TRANSFORMED,0.0034048532080259973,37
categorical__neighbourhood_Bang Phlat,neighbourhood,TRANSFORMED,0.0033954322977833725,38
categorical__neighbourhood_Bang Khen,neighbourhood,TRANSFORMED,0.0033623120691918303,39
categorical__neighbourhood_Khlong San,neighbourhood,TRANSFORMED,0.0033261377521309897,40
categorical__host_response_time_within a day,host_response_time,TRANSFORMED,0.0030268159751667555,41
categorical__neighbourhood_Don Mueang,neighbourhood,TRANSFORMED,0.0030048045637031465,42
categorical__neighbourhood_Min Buri,neighbourhood,TRANSFORMED,0.00281790601630928,43
categorical__property_base_group_Guesthouse / B&B,property_base_group,TRANSFORMED,0.0026884344645468445,44
categorical__neighbourhood_Din Daeng,neighbourhood,TRANSFORMED,0.002636548912261105,45
categorical__property_base_group_Villa,property_base_group,TRANSFORMED,0.002510424757783767,46
categorical__neighbourhood_Lat Krabang,neighbourhood,TRANSFORMED,0.0023689772297229867,47
categorical__neighbourhood_Lak Si,neighbourhood,TRANSFORMED,0.002302195376803866,48
categorical__neighbourhood_Phasi Charoen,neighbourhood,TRANSFORMED,0.0022883488022471285,49
categorical__neighbourhood_Pra Wet,neighbourhood,TRANSFORMED,0.0022778353662947664,50
categorical__neighbourhood_Bang Khae,neighbourhood,TRANSFORMED,0.0022686138585268053,51
