listing_id,cluster,price,neighbourhood_cleansed,room_type,property_type,property_base_group,latitude,longitude,accommodates,bedrooms,bathrooms,beds,amenities,amenities_count,minimum_nights,minimum_nights_log,number_of_reviews,review_scores_rating,has_review,host_is_superhost,model_feature__categorical__room_type_Entire home/apt,model_feature__categorical__room_type_Hotel room,model_feature__categorical__room_type_Private room,model_feature__categorical__room_type_Shared room,model_feature__categorical__property_base_group_Apartment / Condo,model_feature__categorical__property_base_group_Guesthouse / B&B,model_feature__categorical__property_base_group_Hostel,model_feature__categorical__property_base_group_Hotel / Resort,model_feature__categorical__property_base_group_House / Home,model_feature__categorical__property_base_group_Niche / Special Stay,model_feature__categorical__property_base_group_Serviced Apartment / Aparthotel,model_feature__categorical__property_base_group_Unspecified Property Type,model_feature__categorical__property_base_group_Villa,model_feature__numeric__accommodates,model_feature__numeric__bedrooms,model_feature__numeric__bathrooms,model_feature__numeric__beds,model_feature__numeric__amenities_count,model_feature__numeric__minimum_nights_log
2983684,0,2578.0,Sathon,Entire home/apt,Entire rental unit,Apartment / Condo,13.7194317,100.5482832,4,2.0,2.0,2.0,"[""Free parking on premises"", ""Bed linens"", ""Hot water"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Essentials"", ""Building staff"", ""Game console"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Fire extinguisher"", ""Self check-in"", ""Clothing storage: wardrobe"", ""Dishes and silverware"", ""Microwave"", ""Extra pillows and blankets"", ""Shower gel"", ""Bidet"", ""Body soap"", ""Cooking basics"", ""Refrigerator"", ""Wifi"", ""Hangers"", ""Paid washer \u2013 In building"", ""Changing table"", ""Stove"", ""First aid kit"", ""Iron"", ""Long term stays allowed"", ""Crib"", ""Dining table"", ""TV with standard cable"", ""Air conditioning"", ""Shampoo"", ""Private entrance"", ""Patio or balcony""]",38,1,0.6931471805599453,185,4.59,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33206660386034276,0.5233466123817591,0.576841084832127,0.09858819969210096,0.7563495317197177,-0.8235895779098978
2988144,0,1804.0,Din Daeng,Private room,Private room,Unspecified Property Type,13.79827,100.57379,2,1.0,1.0,1.0,"[""Essentials"", ""Kitchen"", ""TV"", ""Elevator"", ""Dryer"", ""Air conditioning"", ""Fire extinguisher"", ""Pool"", ""Gym"", ""Smoke alarm"", ""Shampoo""]",11,3,1.3862943611198906,0,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5157870518326639,-0.33912652952170214,-0.38063859331480204,-0.44679881514846587,-1.1142471534701717,-0.2297165446509231
2999242,0,880.0,Bang Khen,Entire home/apt,Entire rental unit,Apartment / Condo,13.8701,100.60235,2,1.0,1.0,1.0,"[""Free parking on premises"", ""Dryer"", ""Shared pool"", ""Hot water"", ""Gym"", ""Smoke alarm"", ""Essentials"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Self check-in"", ""Dishes and silverware"", ""Washer"", ""Refrigerator"", ""Wifi"", ""City skyline view"", ""Hangers"", ""Courtyard view"", ""Iron"", ""TV with standard cable"", ""Air conditioning"", ""Shampoo"", ""Smart lock""]",23,5,1.791759469228055,45,4.67,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5157870518326639,-0.33912652952170214,-0.38063859331480204,-0.44679881514846587,-0.2828708489413319,0.11767690999510516
3761988,0,805.0,Vadhana,Private room,Private room in townhouse,House / Home,13.73094,100.5954,3,1.0,1.5,2.0,"[""Bed linens"", ""Drying rack for clothing"", ""Hot water"", ""Hot water kettle"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Essentials"", ""Hair dryer"", ""Room-darkening shades"", ""Portable fans"", ""Rice maker"", ""Fire extinguisher"", ""Self check-in"", ""Dishes and silverware"", ""Microwave"", ""Extra pillows and blankets"", ""Shower gel"", ""Toaster"", ""Bidet"", ""Dedicated workspace"", ""Window AC unit"", ""Wifi"", ""Cleaning products"", ""Free washer \u2013 In building"", ""LG refrigerator"", ""First aid kit"", ""Iron"", "". conditioner"", ""Wine glasses"", ""Long term stays allowed"", "". body soap"", ""TV with standard cable"", ""Shampoo"", ""Smart lock"", ""Private entrance""]",35,1,0.6931471805599453,49,4.9,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.09186022398616059,-0.33912652952170214,0.09810124575866251,0.09858819969210096,0.5485054555875077,-0.8235895779098978
3851325,1,1080.0,Din Daeng,Entire home/apt,Entire rental unit,Apartment / Condo,13.79031,100.57423,3,1.0,1.0,1.0,"[""Free parking on premises"", ""Dryer"", ""Gym"", ""Breakfast"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Essentials"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Washer"", ""Wifi"", ""Hangers"", ""First aid kit"", ""Iron"", ""TV"", ""Air conditioning"", ""Pool"", ""Shampoo""]",19,30,3.4339872044851463,24,4.88,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09186022398616059,-0.33912652952170214,-0.38063859331480204,-0.44679881514846587,-0.5599962837842785,1.5247009790410024
3940735,0,3424.0,Vadhana,Entire home/apt,Entire rental unit,Apartment / Condo,13.73078,100.59043,4,2.0,3.0,4.0,"[""Essentials"", ""Free parking on premises"", ""First aid kit"", ""Kitchen"", ""Elevator"", ""Smoking allowed"", ""Air conditioning"", ""TV with standard cable"", ""Washer"", ""Fire extinguisher"", ""Smoke alarm"", ""Shampoo"", ""Pool"", ""Gym"", ""Breakfast""]",15,1,0.6931471805599453,0,,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33206660386034276,0.5233466123817591,1.534320762979056,1.1893622293732344,-0.8371217186272251,-0.8235895779098978
4124073,2,319.0,Ratchathewi,Shared room,Shared room in hostel,Hostel,13.752059165064843,100.53694703759061,8,1.0,2.0,8.0,"[""Essentials"", ""Building staff"", ""Game console"", ""First aid kit"", ""Kitchen"", ""Hair dryer"", ""Dryer"", ""Wifi"", ""Indoor fireplace"", ""Hot water"", ""TV with standard cable"", ""Air conditioning"", ""Fire extinguisher"", ""Self check-in"", ""Smoke alarm"", ""Shampoo"", ""Hangers"", ""High chair""]",18,1,0.6931471805599453,130,4.88,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0277739152463563,-0.33912652952170214,0.576841084832127,3.370910288735502,-0.629277642495015,-0.8235895779098978
4425076,0,1731.0,Khlong Toei,Entire home/apt,Entire rental unit,Apartment / Condo,13.72402,100.57832,2,1.0,1.0,1.0,"[""Essentials"", ""Heating"", ""Building staff"", ""Kitchen"", ""Iron"", ""Cooking basics"", ""Elevator"", ""Long term stays allowed"", ""Shared pool"", ""Wifi"", ""TV with standard cable"", ""Air conditioning"", ""Washer"", ""Gym"", ""Smoke alarm"", ""Shampoo"", ""Self check-in"", ""Refrigerator""]",18,5,1.791759469228055,33,4.73,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5157870518326639,-0.33912652952170214,-0.38063859331480204,-0.44679881514846587,-0.629277642495015,0.11767690999510516
4471377,0,717.0,Sathon,Entire home/apt,Entire rental unit,Apartment / Condo,13.720785,100.547241,2,0.0,1.0,1.0,"[""Outdoor furniture"", ""Bed linens"", ""Fast wifi \u2013 86 Mbps"", ""Cleaning available during stay"", ""Drying rack for clothing"", ""Hot water"", ""Smoke alarm"", ""Paid parking lot off premises"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Essentials"", ""Hair dryer"", ""Room-darkening shades"", ""Portable fans"", ""Mosquito net"", ""Fire extinguisher"", ""Self check-in"", ""Lockbox"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Bidet"", ""Body soap"", ""Private patio or balcony"", ""Paid dryer \u2013 In building"", ""Mini fridge"", ""City skyline view"", ""Cleaning products"", ""Hangers"", ""Outdoor dining area"", ""Paid washer \u2013 In building"", ""First aid kit"", ""Long term stays allowed"", ""Portable heater"", ""AC - split type ductless system"", ""Shampoo"", ""Private entrance""]",36,1,0.6931471805599453,121,4.64,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5157870518326639,-1.2015996714251633,-0.38063859331480204,-0.44679881514846587,0.6177868142982444,-0.8235895779098978
5016431,0,1591.0,Sathon,Entire home/apt,Entire condo,Apartment / Condo,13.72033,100.5299,3,1.0,1.0,1.0,"[""Free parking on premises"", ""Hot water"", ""Gym"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Essentials"", ""Heating"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Washer"", ""Refrigerator"", ""Wifi"", ""Hangers"", ""Iron"", ""Long term stays allowed"", ""TV with standard cable"", ""Air conditioning"", ""Shampoo"", ""Patio or balcony""]",20,1,0.6931471805599453,20,4.75,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09186022398616059,-0.33912652952170214,-0.38063859331480204,-0.44679881514846587,-0.4907149250735418,-0.8235895779098978
