listing_id,price,room_type,property_type,property_base_group,accommodates,bedrooms,bathrooms,beds,amenities_count,minimum_nights,minimum_nights_log
16203889,912.0,Entire home/apt,Entire rental unit,Apartment / Condo,8,2.0,2.0,6.0,24,1,0.6931471805599453
16316807,1092.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,29,7,2.0794415416798357
16378514,1635.0,Private room,Private room in condo,Apartment / Condo,2,1.0,1.0,1.0,0,30,3.4339872044851463
16384502,1200.0,Private room,Private room in condo,Apartment / Condo,2,0.0,1.0,1.0,36,30,3.4339872044851463
16388762,1576.0,Private room,Private room in rental unit,Apartment / Condo,4,1.0,1.0,2.0,16,1,0.6931471805599453
16540383,673.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,0.0,1.0,1.0,22,31,3.4657359027997265
16652755,843.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.5,1.0,37,4,1.6094379124341003
16923818,1200.0,Entire home/apt,Entire rental unit,Apartment / Condo,3,1.0,1.0,2.0,37,29,3.4011973816621555
17007746,815.0,Private room,Private room in rental unit,Apartment / Condo,2,1.0,1.0,1.0,33,1,0.6931471805599453
17097828,1350.0,Private room,Private room in rental unit,Apartment / Condo,2,1.0,1.0,1.0,13,1,0.6931471805599453
17441613,1890.0,Private room,Room in boutique hotel,Hotel / Resort,2,1.0,1.0,1.0,23,1,0.6931471805599453
17453335,630.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,0.0,1.0,1.0,14,2,1.0986122886681098
17471194,792.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,47,14,2.70805020110221
17516796,1079.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,38,28,3.367295829986474
17734836,1418.0,Entire home/apt,Entire rental unit,Apartment / Condo,4,2.0,2.0,2.0,16,30,3.4339872044851463
17770545,3922.0,Entire home/apt,Entire home,House / Home,6,3.0,3.0,3.0,15,2,1.0986122886681098
17795748,537.0,Private room,Private room in rental unit,Apartment / Condo,2,1.0,1.0,1.0,9,1,0.6931471805599453
17982006,3150.0,Entire home/apt,Entire condo,Apartment / Condo,4,2.0,2.0,2.0,44,7,2.0794415416798357
18029377,990.0,Private room,Private room in townhouse,House / Home,2,1.0,1.0,1.0,28,1,0.6931471805599453
18162277,965.0,Private room,Private room in rental unit,Apartment / Condo,2,1.0,1.0,1.0,32,20,3.044522437723423
18217469,1776.0,Entire home/apt,Entire condo,Apartment / Condo,4,2.0,1.0,2.0,40,3,1.3862943611198906
18435026,1800.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,44,7,2.0794415416798357
18452828,763.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.5,1.0,37,30,3.4339872044851463
18667173,700.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,30,28,3.367295829986474
18747123,1200.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,26,1,0.6931471805599453
18794556,1824.0,Entire home/apt,Entire townhouse,House / Home,5,3.0,4.5,4.0,11,2,1.0986122886681098
19042037,664.0,Entire home/apt,Entire rental unit,Apartment / Condo,3,1.0,1.5,1.0,37,1,0.6931471805599453
19088105,1060.0,Entire home/apt,Entire place,Unspecified Property Type,2,1.0,1.0,1.0,31,60,4.110873864173311
19198885,550.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,42,3,1.3862943611198906
19336181,1698.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,0.0,1.0,1.0,38,1,0.6931471805599453
19336318,1110.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,36,29,3.4011973816621555
19566339,1723.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,28,21,3.091042453358316
19632698,741.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,31,4,1.6094379124341003
19702707,618.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,38,1,0.6931471805599453
19867815,893.0,Private room,Private room in guesthouse,Guesthouse / B&B,3,1.0,2.0,2.0,18,1,0.6931471805599453
20092892,1821.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,31,30,3.4339872044851463
20219680,6369.0,Private room,Private room in home,House / Home,2,1.0,1.0,1.0,12,1,0.6931471805599453
20310823,3325.0,Entire home/apt,Entire townhouse,House / Home,3,2.0,1.0,2.0,53,2,1.0986122886681098
20313425,810.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,46,28,3.367295829986474
20316842,1858.0,Private room,Private room in home,House / Home,4,1.0,1.0,2.0,26,1,0.6931471805599453
20470771,44474.0,Entire home/apt,Entire rental unit,Apartment / Condo,4,2.0,2.0,2.0,16,3,1.3862943611198906
20700435,990.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,27,30,3.4339872044851463
20745097,2500.0,Entire home/apt,Entire condo,Apartment / Condo,4,2.0,2.0,2.0,26,180,5.198497031265826
